table_id;x_axis_rc_code;y_axis_rc_code
D_05.00;140;C10_51
D_07.00;30;470
C_34.05;140;90
C_80.00;100;1040
C_118.00;190;x414_SK
C_13.01;150;255
C_74.00;60;341
C_80.00;40;840
C_80.00;120;1060
J_06.00;50;500
C_114.00;150;x417_CR
D_05.00;40;C27_4
C_75.01;70;1620
C_75.01;100;2620
F_23.03;40;80
C_114.00;202;x414_SI
C_33.00;300;200
C_114.00;180;x415_KY
C_118.00;150;x416_DO
J_06.00;300;500
D_05.00;70;K66_29
C_13.01;30;670
C_118.00;170;x417_CI
C_13.01;320;460
D_05.00;40;J61_2
D_05.00;100;P85_32
D_05.00;50;J58_11
C_74.00;50;160
C_80.00;110;550
C_32.02;240;150
C_75.01;20;70
C_21.00;70;20
C_13.01;60;570
C_17.01;90;140
C_05.02;30;70
D_05.00;30;C32_99
C_19.00;530;80
D_05.00;140;C20_3
C_20.00;450;80
D_05.00;110;G46_62
C_103.00;90;NULL
D_07.00;120;460
C_114.00;160;x417_ID
C_75.01;90;2370
C_32.03;110;NULL
J_02.00;150;80
D_05.00;110;G45_4
C_74.00;130;289
D_05.00;110;G46_15
C_10.02;60;NULL
C_05.02;60;120
C_18.00;70;251
C_08.01;255;170
C_82.00;70;450
C_75.01;70;1540
C_80.00;90;110
C_66.01;10;350
C_118.00;130;x414_SK
D_05.00;80;H49_2
C_75.01;80;2640
C_120.04;180;x6_x130_x876_x15_x776
C_114.00;180;x416_UA
D_05.00;100;C25_5
C_120.01;50;x477
C_32.02;270;150
C_08.01;70;160
D_09.02;240;40
C_75.01;70;240
J_02.00;100;590
C_74.00;80;420
C_13.01;300;570
C_114.00;180;x418_AM
C_75.01;90;2310
F_46.00;110;70
C_118.00;207;x418_HK
C_118.00;150;x415_KY
C_34.03;70;210
F_18.00;160;530
C_34.02;100;80
C_74.00;130;281
C_13.01;220;560
C_114.00;150;x415_PH
C_114.00;160;x416_CL
C_118.00;180;x417_VE
F_15.00;100;42
C_118.00;160;x416_NC
D_05.00;100;G46_12
C_13.01;250;540
D_05.00;80;J61_9
D_09.01;50;180
C_91.00;20;100
D_09.02;300;30
C_22.00;60;430
C_114.00;140;x414_CH
J_08.00;40;130
C_13.01;150;90
D_05.00;50;S95_23
D_03.01;50;B8_11_x85
C_75.01;20;1620
C_32.02;70;160
C_74.00;130;420
D_05.00;80;C13_93
C_13.01;870;134
C_75.01;70;1860
D_07.00;90;380
J_02.00;120;570
C_101.00;90;NULL
C_24.00;100;80
C_09.02;80;45
F_23.02;120;360
C_73.00;30;1290
C_66.01;10;1070
C_75.01;100;2050
C_118.00;180;x415_ID
F_35.00;80;40
D_05.00;100;C32_5
C_91.00;180;70
C_66.01;10;195
C_74.00;100;570
C_08.02;150;NULL
C_75.01;20;1470
C_13.01;230;520
D_05.00;90;N81_21
C_105.01;120;NULL
C_114.00;160;x414_HR
C_18.00;70;280
C_80.00;120;20
C_73.00;60;1095
C_114.00;170;x418_IN
D_05.00;70;J59_12
D_05.00;60;G46_46
C_73.00;30;210
C_118.00;207;x414_SI
D_05.00;140;C20_42
C_118.00;205;x418_CA
C_13.01;290;373
C_13.01;730;520
F_18.00;90;510
D_07.00;130;420
D_05.00;40;S94_91
F_11.04;50;20
C_24.00;100;110
J_03.00;100;620
